powder_id,property,best_estimate,range_low,range_high,units,specificity,source_url,notes
brown-rice-flour,angle_of_repose,47,40,55,deg,rough-estimate,https://link.springer.com/article/10.1007/s11694-016-9451-8,"Based on rice-flour class 38-53 deg plus slight increase for bran/fat; whole brown rice GRAIN 30-34 deg not applicable to flour"
brown-rice-flour,true_density,1.45,1.35,1.55,g/cm3,material-generic,https://www.bioinfopublication.org/include/download.php?id=BIA0003329,"Brown rice kernel true density 1.51 toluene (varietal 1.43-1.67); bran lipids pull flour slightly below pure starch 1.5"
brown-rice-flour,equilibrium_moisture,11.5,10,13,wt%,material-generic,https://www.uaex.uada.edu/farm-ranch/crops-commercial-horticulture/Grain_drying_and_storage/rice_drying_and_storage.aspx,"Same rice EMC table; bran lipids give marginally lower EMC than milled rice. Hygroscopicity moderate"
brown-rice-flour,shape,"irregular angular particles: polygonal starch granules + bran/fiber flakes",,,text,material-generic,https://pmc.ncbi.nlm.nih.gov/articles/PMC10743165/,"Compound polygonal starch granules (2-7 um) plus pericarp/bran fragments and germ; stone ground per BRM"
salt,bulk_density,1.19,1.12,1.30,g/mL,product-class-specific,https://www.webstaurantstore.com/documents/specsheets/iod_table_26oz_fs_fs_pds_2516_r3_230920.pdf,"Morton Iodized Table Salt PDS 2516: pour density 1.12-1.27 g/mL; Morton Purex 1.14-1.30; NaCl ASTM D632 1.154"
salt,tapped_density,1.28,1.22,1.38,g/mL,rough-estimate,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11051539,"No manufacturer tapped spec found; US11051539 cites commercial NaCl up to 1.28 g/mL tapped; estimate = pour x HR 1.05-1.10"
salt,hausner_ratio,1.08,1.03,1.15,-,rough-estimate,https://www.eolss.net/Sample-Chapters/C10/E5-10-01-05.pdf,"Granulated salt is the textbook free-flowing powder: loose and tapped densities nearly equal (Peleg EOLSS). Carr approx 7% (3-13)"
salt,d50,425,300,500,um,product-class-specific,https://www.webstaurantstore.com/documents/specsheets/iod_table_26oz_fs_fs_pds_2516_r3_230920.pdf,"Morton table salt: <=5% retained on 600 um <=9% passing 212 um; normal table salt cube crystals 400-600 um (ScienceDirect topic page)"
salt,angle_of_repose,32,30,38,deg,material-generic,https://earthsci.org/mineral/mindep/salt/salt.html,"Salt Institute data: dry NaCl (ASTM D632 gradation) AoR 32 deg; fine grades/humid air push higher"
salt,true_density,2.165,2.16,2.17,g/cm3,material-generic,https://earthsci.org/mineral/mindep/salt/salt.html,"NaCl specific gravity 2.165; anticaking additive (0.2-0.7% calcium silicate) negligible effect"
salt,equilibrium_moisture,0.05,0.01,0.1,wt%,product-class-specific,https://www.webstaurantstore.com/documents/specsheets/iod_table_26oz_fs_fs_pds_2516_r3_230920.pdf,"Morton spec surface moisture <=0.1%; low hygroscopicity below deliquescence RH 75.3-75.4% at 20-25 C; cakes if RH cycles through 75%"
salt,shape,cubic crystals (vacuum-pan granulated),,,text,product-class-specific,https://assetcloud01.roccommerce.net/files/_reinders/7/8/3/1514-4-spec.pdf,"Morton Purex PDS: salt crystals are cubic; table salt is the middle screen fraction of vacuum-pan production"
xanthan-gum,bulk_density,0.62,0.45,0.8,g/mL,product-specific,https://www.bobsredmill.com/products/xanthan-gum,"BRM label serving 1 Tbsp = 9 g -> 0.61 g/mL scoop density; consistent with measured 0.66 g/cm3 for Jungbunzlauer XG (PMC6921021)"
xanthan-gum,tapped_density,0.77,0.6,0.9,g/mL,material-generic,https://pmc.ncbi.nlm.nih.gov/articles/PMC6921021/,"Jungbunzlauer XG tapped 0.77 Hausner 1.13 Carr 11.9 - but that lot was sieved 90-250 um; unsieved fine 80/200-mesh XG typically Hausner 1.2-1.4"
xanthan-gum,d50,90,60,150,um,material-generic,https://pmc.ncbi.nlm.nih.gov/articles/PMC9571349/,"Jungbunzlauer fine XG d10 15.5 d50 72.7 d90 167 um; 80-mesh grade spec 100% thru 250 um >95% thru 180 um"
xanthan-gum,angle_of_repose,35,28,42,deg,rough-estimate,https://www.researchgate.net/figure/Angle-of-repose-as-an-indication-of-powder-flow-properties_tbl1_330428706,"No measured XG value found; estimate from Hausner band and powdered-gum AoR range 22.35-37.2 deg; fine 200-mesh grades at high end or above"
xanthan-gum,true_density,1.52,1.4,1.6,g/cm3,material-generic,https://pmc.ncbi.nlm.nih.gov/articles/PMC6921021/,"Helium-pycnometry true density 1.52 (Jungbunzlauer XG); powder porosity 0.56"
xanthan-gum,equilibrium_moisture,12,8,16,wt%,material-generic,https://www.stobec.com/DATA/PRODUIT/2933~v~data.pdf,"CP Kelco Kelzan PDS loss-on-drying spec 6-16%; KELTROL GM COA 13%; Jungbunzlauer FN <=12%. Classification high; store sealed and dry"
xanthan-gum,shape,milled irregular,,,text,material-generic,https://pmc.ncbi.nlm.nih.gov/articles/PMC6921021/,"Fermentation product IPA-precipitated dried milled; SEM irregular particles rough surfaces rounded edges"
carboxymethyl-cellulose,bulk_density,0.6,0.5,0.75,g/mL,material-generic,https://patents.google.com/patent/EP2414402A1/en,"Raw powder CMC 550-675 g/L (patent baseline); Ashland Aqualon booklet lists 0.75 g/mL. Cape Crystal publishes no density"
carboxymethyl-cellulose,tapped_density,0.8,0.7,0.9,g/mL,rough-estimate,https://patents.google.com/patent/EP2414402A1/en,"Estimated from loose 0.55-0.68 + AoR 41-42 deg (Hausner approx 1.25-1.4 Carr 20-28). No public tapped value for food-grade CMC"
carboxymethyl-cellulose,d50,60,40,120,um,material-generic,https://www.nouryon.com/globalassets/inriver/resources/pds-cekol-20000-p-cellulose-gum-en.pdf,"Cekol 20000 P fine grade <=20% >75 um <=0.5% >250 um -> d50 approx 50 um; coarser food grades to 95% <180 um. Cape Crystal grind not disclosed"
carboxymethyl-cellulose,angle_of_repose,41,38,50,deg,material-generic,https://patents.google.com/patent/EP2414402A1/en,"Raw-material CMC about 41-42 deg; fine fibrous grades more cohesive (upper end)"
carboxymethyl-cellulose,true_density,1.6,1.55,1.65,g/cm3,material-generic,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5209844.htm,"ChemicalBook 1.6 g/cm3; Handbook of Pharmaceutical Excipients 1.59 for carmellose sodium"
carboxymethyl-cellulose,equilibrium_moisture,15,10,19,wt%,material-generic,https://www.nouryon.com/globalassets/inriver/resources/brochure-personal-care-cmc-book-global-en.pdf,"Nouryon CMC Book Fig 27: approx 15-18% at 45% RH rising to 27-30% at 80% RH; as-packed <=8%. Classification high"
carboxymethyl-cellulose,shape,fibrous/granular,,,text,material-generic,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB5209844.htm,"White to cream powder; pure NaCMC is fibrous (ground fibers) or granules"
sodium-alginate,bulk_density,0.55,0.4,0.75,g/mL,rough-estimate,https://asianjpr.com/HTML_Papers/Asian%20Journal%20of%20Pharmaceutical%20Research__PID__2017-7-3-8.html,"No public value for pure food-grade alginate; analogy to measured fine polysaccharide gums (XG 0.66 CMC 0.55-0.68) and alginate blends 0.44-0.52"
sodium-alginate,tapped_density,0.7,0.55,0.9,g/mL,rough-estimate,https://asianjpr.com/HTML_Papers/Asian%20Journal%20of%20Pharmaceutical%20Research__PID__2017-7-3-8.html,"Implies Hausner approx 1.25-1.35 Carr 20-26 consistent with alginate-rich blends (tapped 0.59-0.63)"
sodium-alginate,d50,120,60,200,um,material-generic,https://www.stobec.com/DATA/PRODUIT/1468~v~data_8335.pdf,"FMC food alginates approx 95% thru 75/106/180/250 um by grade; FAO: usually milled to about 60 mesh; spherification grades at finer end"
sodium-alginate,angle_of_repose,42,34,50,deg,rough-estimate,https://www.fao.org/4/X5822E/x5822e04.htm,"No measured value found; fibrous fine hygroscopic powder -> cohesive, anchored on CMC 41-42 deg"
sodium-alginate,true_density,1.65,1.55,1.75,g/cm3,rough-estimate,https://pmc.ncbi.nlm.nih.gov/articles/PMC6921021/,"No pycnometry value found; estimated from polysaccharide analogs (xanthan 1.52 CMC 1.6) with Na-uronate salts slightly denser"
sodium-alginate,equilibrium_moisture,12,10,17,wt%,material-generic,https://www.fao.org/4/X5822E/x5822e04.htm,"FAO: commercial alginates usually 10-13% moisture; EMC 15-20 g/100 g at 35-50% RH storage; spec LOD <=15%. Classification moderate-high"
sodium-alginate,shape,fibrous or granular,,,text,material-generic,https://gumstabilizer.com/products/sodium-alginate-food-grade/,"EU spec: white to yellowish fibrous or granular powder; alcohol-process = fine hair-like fibres paste-process = granular"
calcium-lactate,bulk_density,0.4,0.3,0.5,g/mL,material-generic,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB0216700.htm,"L-calcium lactate pentahydrate bulk density 300-500 kg/m3. Cape Crystal confirms food grade but no density"
calcium-lactate,tapped_density,0.55,0.45,0.7,g/mL,rough-estimate,https://patents.google.com/patent/US20110300220A1/en,"No public tapped value; estimated from loose 0.3-0.5 with assumed Hausner 1.3-1.4 (NOTE: derived HR is circular). Carr flow index of commercial product 89.5 = quite good"
calcium-lactate,d50,220,150,300,um,material-generic,https://patents.google.com/patent/US10660869B2/en,"Corbion PURACAL PP pentahydrate D[3,2] 184 um D[4,3] 240 um; conventional PSD 3% <100 um 59% 100-280 um"
calcium-lactate,angle_of_repose,40,32,48,deg,rough-estimate,https://patents.google.com/patent/US20110300220A1/en,"No measured value; irregular ground crystals with fines but flow index quite good -> mid-30s to mid-40s"
calcium-lactate,true_density,1.494,1.45,1.55,g/cm3,material-generic,https://en.wikipedia.org/wiki/Calcium_lactate,"Crystal density 1.494 g/cm3; pentahydrate is the standard commercial food form"
calcium-lactate,equilibrium_moisture,0.5,0.1,1,wt%,material-generic,https://en.wikipedia.org/wiki/Calcium_lactate,"Free surface moisture only; slightly efflorescent; 22-27 wt% water of crystallization is bound in the solid not adsorbed. Classification low at 40-60% RH"
calcium-lactate,shape,"crystalline, irregular ground",,,text,material-generic,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB9140185.htm,"White crystalline or granular powder slightly efflorescent; mass crystallization then grinding -> irregular particles with powdery fines"
silicon-110-200,bulk_density,1.25,1.1,1.5,g/mL,material-generic,https://patents.google.com/patent/US12065457B2/en,"Wacker patent ground technical Si (d50 120-600 um) poured density 1.1-1.6 in particular 1.2-1.5 g/cm3; micron Si bulk 1.24 (SAM)"
silicon-110-200,tapped_density,1.45,1.3,1.65,g/mL,rough-estimate,https://en.wikipedia.org/wiki/Hausner_ratio,"No measured tapped value; loose 1.25 x assumed Hausner 1.15-1.20 (free-flowing coarse angular). NOTE derived HR is circular"
silicon-110-200,d50,106,75,150,um,material-generic,https://silicon-powders.com/article/sililcon-powder-mesh-size-guide/,"d50 = geometric mean of mesh-cut bounds (200 mesh = 75 um; approx 110 mesh = 137-150 um)"
silicon-110-200,angle_of_repose,36,32,42,deg,rough-estimate,https://silicon-powders.com/article/sililcon-powder-mesh-size-guide/,"No measured AoR for crushed Si; angular crushed packs with higher friction than salt 32 deg; SiliFuse: 60-100 mesh flow manageable finer cuts cohesive"
silicon-110-200,true_density,2.33,2.32,2.38,g/cm3,material-generic,https://micronmetals.com/product/silicon-powder-high-purity/,"AEE true density 2.329; Wacker patent 2.31-2.38 for technical ground Si"
silicon-110-200,equilibrium_moisture,0.05,0.01,0.2,wt%,rough-estimate,https://www.bayvillechemical.net/silicon-metal-powder,"Non-hygroscopic (oxide-passivated water-insoluble); physisorbed surface water estimate; no quantitative isotherm found"
silicon-110-200,shape,angular crushed crystalline (ground),,,text,material-generic,https://patents.google.com/patent/US12065457B2/en,"Metallurgical/higher-purity Si of this cut is comminuted material"
silicon-325,bulk_density,0.77,0.6,1.0,g/mL,product-specific,https://micronmetals.com/product/silicon-metal-powder/,"AEE SI-101 (tech grade -325 mesh 99+%) lists density 0.77 g/cm3 (interpretable only as bulk); patent lit fine Si 0.60-0.75 g/cc"
silicon-325,tapped_density,1.0,0.85,1.2,g/mL,rough-estimate,https://en.wikipedia.org/wiki/Hausner_ratio,"Estimated: loose 0.77 x Hausner 1.25-1.40 typical of cohesive fine angular powders. NOTE derived HR is circular"
silicon-325,d50,25,15,35,um,material-generic,https://silicon-powders.com/article/sililcon-powder-mesh-size-guide/,"325 mesh = 44 um top size; laser-diffraction d50 of -325 crushed powders typically 0.4-0.7x top size; no supplier d50 published"
silicon-325,angle_of_repose,43,38,50,deg,rough-estimate,https://silicon-powders.com/article/sililcon-powder-mesh-size-guide/,"No measured value; guide notes 150-200+ mesh Si cohesive with bridging in hoppers; fine angular powders 40-50 deg"
silicon-325,true_density,2.33,2.32,2.34,g/cm3,material-generic,https://micronmetals.com/product/silicon-powder-high-purity/,"2.329 (AEE); same crystal density as coarse cut"
silicon-325,equilibrium_moisture,0.1,0.02,0.3,wt%,rough-estimate,https://www.bayvillechemical.net/silicon-metal-powder,"Non-hygroscopic class but higher specific surface than coarse cut; estimate only"
silicon-325,shape,"angular crushed, cohesive fines",,,text,material-generic,https://micronmetals.com/product/silicon-metal-powder/,"Ground crystalline Si (AEE SI-101/SI-110; Sigma -325 mesh crystalline)"
alsi10mg,bulk_density,1.35,1.3,1.45,g/mL,product-specific,https://www.hoganas.com/globalassets/downloads/libary/additive-manufacturing_foram-alsi10mg-20-63-ga_3313hog.pdf,"Hoganas forAM AlSi10Mg 20-63 GA 1.35 (ASTM B212); Granges 1.3 (ISO 3923-2); commercial CL31 1.45"
alsi10mg,tapped_density,1.6,1.53,1.65,g/mL,product-specific,https://www.granges.com/contentassets/4931f1a18787412b848327d26ec5334e/240606-gpm-alsi10mg.pdf,"Granges 1.6 (ISO 3953); lit 1.65 (CL31) 1.53 (lab GA). Hausner 1.09-1.24 across sources; Carr approx 12-19"
alsi10mg,d50,42,40,48,um,product-specific,https://www.granges.com/contentassets/4931f1a18787412b848327d26ec5334e/240606-gpm-alsi10mg.pdf,"Granges d10 26-32 d50 40-45 d90 53-61 um; Hoganas nominal 20-63 um; standard-cut d50 44.2-48.4 in arXiv 2507.23422"
alsi10mg,angle_of_repose,30,25,39,deg,material-generic,https://pmc.ncbi.nlm.nih.gov/articles/PMC6316956/,"Direct AlSi10Mg values paywalled; gas-atomized AlSi7Mg analog 30 and 26 deg for LPBF cuts 39 for fine cut; AlSi10Mg batch surveys 25-42"
alsi10mg,true_density,2.67,2.66,2.68,g/cm3,material-generic,https://ar5iv.labs.arxiv.org/html/2507.23422,"Solid AlSi10Mg 2670 kg/m3; Granges printed part 2.68"
alsi10mg,equilibrium_moisture,0.03,0.01,0.1,wt%,rough-estimate,https://pmc.ncbi.nlm.nih.gov/articles/PMC6316956/,"Essentially non-hygroscopic; DVS on Al-Si GA powder shows small vapor sorption larger for finer cuts; shipped in Ar-filled drums; no published wt% isotherm"
alsi10mg,shape,spherical gas-atomized (+satellites),,,text,product-specific,https://www.granges.com/contentassets/4931f1a18787412b848327d26ec5334e/240606-gpm-alsi10mg.pdf,"Sphericity SPHT3 0.90-0.93 roundness 0.68-0.73 (Camsizer); mostly spherical with agglomerates/some irregular"
sodium-sulfate,bulk_density,1.40,1.36,1.60,g/mL,product-specific,http://www.saltexllc.com/pdfs/TypicalAnalysisMiddletownNYSaltex0409.pdf,"Saltex TDS poured 85-100 lb/ft3 (1.36-1.60); Corechem FCC PDS 87.25 lb/ft3 free-flow = 1.40"
sodium-sulfate,tapped_density,1.68,1.44,1.92,g/mL,product-specific,http://www.saltexllc.com/pdfs/TypicalAnalysisMiddletownNYSaltex0409.pdf,"Saltex tapped 90-120 lb/ft3 (1.44-1.92). Hausner from mid values approx 1.13 (1.06-1.20); Carr approx 12"
sodium-sulfate,d50,135,75,250,um,product-specific,https://corecheminc.com/wp-content/uploads/2017/03/Product-Data-Sheet-Sodium-Sulfate-Anhydrous-FCC.pdf,"Corechem sieve: -60+100 32.1% -100+200 45.0% -200 13.5% -> interpolated d50 approx 135 um. ACS reagent powder grades can be finer"
sodium-sulfate,angle_of_repose,32,30,36,deg,product-specific,https://corecheminc.com/wp-content/uploads/2017/03/Product-Data-Sheet-Sodium-Sulfate-Anhydrous-FCC.pdf,"Corechem PDS states angle of repose 32 deg (free-flowing granular)"
sodium-sulfate,true_density,2.664,2.66,2.7,g/cm3,material-generic,https://en.wikipedia.org/wiki/Sodium_sulfate,"Anhydrous 2.664 (decahydrate 1.464); Corechem SG 2.7; thenardite 2.67-2.70"
sodium-sulfate,equilibrium_moisture,0.06,0.01,0.1,wt%,material-generic,https://www.osti.gov/pages/biblio/1850965-thermodynamics-dehydration-hydration-behaviors-na-sulfate-borate-bicarbonate-minerals,"As-sold spec 0.06% max (Saltex). Thenardite->mirabilite hydration very sluggish and does not begin until at least 85% RH (Liu and Bish 2020); at 40-60% RH uptake stays approx spec level; decahydrate binds 55.9 wt% water (+127% of anhydrous mass) on sustained excursions at T<32.4 C"
sodium-sulfate,shape,white granular crystalline powder,,,text,product-specific,https://corecheminc.com/wp-content/uploads/2017/03/Product-Data-Sheet-Sodium-Sulfate-Anhydrous-FCC.pdf,"White granular powder (Corechem); orthorhombic thenardite crystals"
barium-chloride,bulk_density,1.3,1.2,1.4,g/mL,product-specific,https://www.carlroth.com/downloads/sdb/en/4/SDB_4453_GB_EN.pdf,"Carl Roth SDS art. 4453 (>=99% p.a. ACS): bulk density 1200-1400 kg/m3"
barium-chloride,tapped_density,1.5,1.35,1.65,g/mL,rough-estimate,https://en.wikipedia.org/wiki/Hausner_ratio,"No measured tapped value; loose 1.3 x Hausner 1.10-1.20 typical of free-flowing coarse crystalline salts (cf Na2SO4 measured approx 1.13). NOTE derived HR is circular"
barium-chloride,d50,300,100,600,um,rough-estimate,https://www.fishersci.com/shop/products/barium-chloride-dihydrate-crystalline-certified-acs-fisher-chemical-4/B34100,"ACS grade sold as Crystalline (Fisher B34100); no supplier PSD published; estimate of typical reagent crystal granulometry"
barium-chloride,angle_of_repose,34,28,40,deg,rough-estimate,https://corecheminc.com/wp-content/uploads/2017/03/Product-Data-Sheet-Sodium-Sulfate-Anhydrous-FCC.pdf,"No measured value; analogy with free-flowing granular crystalline salt (Na2SO4 measured 32) widened for coarser/denser crystals"
barium-chloride,true_density,3.097,3.05,3.10,g/cm3,material-generic,https://en.wikipedia.org/wiki/Barium_chloride,"Dihydrate 3.0979 (anhydrous 3.856). Carl Roth SDS lists 3.9 at 20 C (anhydrous) - do not use for the dihydrate"
barium-chloride,equilibrium_moisture,0.02,0,0.1,wt%,material-generic,https://patents.google.com/patent/US6244432B1/en,"Non-hygroscopic at ambient - dihydrate is the stable room-T form (anhydrous BaCl2 is the hygroscopic one); saturated-solution RH approx 90% so no deliquescence below approx 90% RH; caking at sustained >80-90% RH plausible but not specifically documented"
barium-chloride,shape,colorless/white rhomboidal (monoclinic) crystals,,,text,material-generic,https://en.wikipedia.org/wiki/Barium_chloride,"Colourless rhomboidal crystals (dihydrate); Roth SDS white odourless solid; Fisher crystalline ACS"
